region_name,Station,longitude,latitude,date,time,Twilight,net,mesh (um),net diamter (m),tow depth (m),bottom depth(m),volume (m3),CTD,Polychaeta,Amphipoda,Cirripedia,Cladocera,Copepoda,Cumacea,Anomura,Brachyura,Caridea,Pleocyemata,Euphausiacea,Isopoda,Mysida,Ostracoda,Bryozoa,Chaetognatha,Anthozoa,Hydromedusa,Siphonophora,Scyphozoa,Ctenophora,Echinodermata,Bivalva,Cephalopoda,Gastropoda,Pteropoda,Nemertea,Phoronida,Pisces,Platyhelminthes,Protozoa,Sipuncula,Appendicularia,Thaliacea,Animalia
Alaska Basin East,P26,-145,50,1980-04-01,8:15,Night,SCOR VNH,351,0.56,150,4250,36.93,,1.32386,0.12315,0,0,35.71307,0,0,0,0,0,8.70913,0,0,2.51286,0,2.96642,0,27.90144,1.15028,0,0,0,0,0,0,1.81533,0,0,0,0,0,0,0.12998,0,0
Alaska Basin East,P26,-145,50,1980-01-22,9:00,Daylight,SCOR VNH,351,0.56,150,4250,36.93,,0.02329,0.5134,0,0,14.76068,0,0,0,0,0,0,0,0,1.47306,0,2.13241,0,4.4273,0.28757,0,0,0,0,0,0,5.95288,0,0,0,0,0,0,0.00812,0,0
Alaska Basin East,P26,-145,50,1980-01-25,9:00,Daylight,SCOR VNH,351,0.56,150,4250,36.93,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.72949,0,2.68346,1.53371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska Basin East,P26,-145,50,1980-01-27,9:00,Daylight,SCOR VNH,351,0.56,150,4250,36.93,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.42161,0,5.23152,0.28757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska Basin East,P26,-145,50,1980-01-29,9:00,Daylight,SCOR VNH,351,0.56,150,4250,36.93,,0.11969,0,0,0,11.85381,0,0,0,0,0,0,0,0,0.77985,0,1.12781,0,2.61576,0.57514,0,0,0,0,0,0,3.557,0,0,0,0,0,0,0.00812,0,0
Alaska Basin East,P26,-145,50,1980-02-02,8:55,Daylight,SCOR VNH,351,0.56,150,4250,36.93,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7108,0,11.22827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska Basin East,P26,-145,50,1980-05-02,9:00,Daylight,SCOR VNH,351,0.56,150,4250,36.93,,0,0,0,0,4.65346,0,0,0,0,0,0,0,0,0.25995,0,0,0,0.87192,0,0,0,0,0,0,0,0.89305,0,0,0,0,0,0,0.00271,0,0
Alaska Basin East,P26,-145,50,1980-07-02,9:00,Daylight,SCOR VNH,351,0.56,150,4250,36.93,,0.11969,0,0,0,25.59489,0,0,0,0,0,0,0,0,0,0,5.30734,0,3.55538,0,0,0,0,0,0,0,0.92066,0,0,0,0,0,0,0,0,0
Juan de Fuca,1,-124.383,48.5,1980-02-13,4:15,Night,Bongo ONH,351,0.56,53,91,100.53,,0.16807,0.68728,2.6229,0,32.49644,0.00645,0,0,0,1.02497,6.10962,0,0.10313,0,0,2.64709,0,0.45956,0.08149,0,0.02626,0,0,0,0,0.10823,0,0,8.73639,0,0,0,0.61116,0,0
Southern Vancouver Island Shelf (Stations B and D),2,-124.55,48.5,1980-02-13,5:35,Night,Bongo ONH,351,0.56,139,182,96.21,,0.0439,0,1.84929,0,18.68693,0,0,0,0,0.0153,5.42501,0,0.05388,0.06652,0,0.95782,0,0,0,0,0,0,0,0,0,0.05654,0,0,0.22139,0,0,0,0.7783,0,0
